profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,47243.06955
142,285.2,80,20,1,4/20/2018,5/9/2018,TRUE,FALSE,,
143,481,80,20,1,4/20/2018,5/9/2018,FALSE,TRUE,,
144,243.4,80,20,1,4/20/2018,5/9/2018,TRUE,TRUE,,
145,-697.8,80,20,2,4/21/2018,5/10/2018,FALSE,FALSE,,
146,577.4,80,20,2,4/21/2018,5/10/2018,TRUE,FALSE,,
147,188.8,80,20,2,4/21/2018,5/10/2018,FALSE,TRUE,,
148,-48.8,80,20,2,4/21/2018,5/10/2018,TRUE,TRUE,,
149,-1256.3,80,20,3,4/22/2018,5/11/2018,FALSE,FALSE,,
150,1230.1,80,20,3,4/22/2018,5/11/2018,TRUE,FALSE,,
151,747.3,80,20,3,4/22/2018,5/11/2018,FALSE,TRUE,,
152,603.9,80,20,3,4/22/2018,5/11/2018,TRUE,TRUE,,
153,-1435.8,80,20,4,4/23/2018,5/12/2018,FALSE,FALSE,,
154,1167.4,80,20,4,4/23/2018,5/12/2018,TRUE,FALSE,,
155,810,80,20,4,4/23/2018,5/12/2018,FALSE,TRUE,,
156,783.4,80,20,4,4/23/2018,5/12/2018,TRUE,TRUE,,
157,-1500,80,20,5,4/24/2018,5/13/2018,FALSE,FALSE,,
158,1528.8,80,20,5,4/24/2018,5/13/2018,TRUE,FALSE,,
159,745.8,80,20,5,4/24/2018,5/13/2018,FALSE,TRUE,,
160,1144.8,80,20,5,4/24/2018,5/13/2018,TRUE,TRUE,,
161,-780.4,80,20,6,4/25/2018,5/14/2018,FALSE,FALSE,,
162,2248.4,80,20,6,4/25/2018,5/14/2018,TRUE,FALSE,,
163,51.8,80,20,6,4/25/2018,5/14/2018,FALSE,TRUE,,
164,450.8,80,20,6,4/25/2018,5/14/2018,TRUE,TRUE,,
165,200.5,80,20,7,4/26/2018,5/15/2018,FALSE,FALSE,,
166,1674.1,80,20,7,4/26/2018,5/15/2018,TRUE,FALSE,,
167,1032.7,80,20,7,4/26/2018,5/15/2018,FALSE,TRUE,,
168,1431.7,80,20,7,4/26/2018,5/15/2018,TRUE,TRUE,,
169,-1702,90,20,1,4/30/2018,5/19/2018,FALSE,FALSE,,
170,-330.2,90,20,1,4/30/2018,5/19/2018,TRUE,FALSE,,
171,-1940,90,20,1,4/30/2018,5/19/2018,FALSE,TRUE,,
172,-330.2,90,20,1,4/30/2018,5/19/2018,TRUE,TRUE,,
173,-2154.1,90,20,2,5/1/2018,5/20/2018,FALSE,FALSE,,
174,-463.5,90,20,2,5/1/2018,5/20/2018,TRUE,FALSE,,
175,-2073.3,90,20,2,5/1/2018,5/20/2018,FALSE,TRUE,,
176,-463.5,90,20,2,5/1/2018,5/20/2018,TRUE,TRUE,,
177,-2202.4,90,20,3,5/2/2018,5/21/2018,FALSE,FALSE,,
178,-511.8,90,20,3,5/2/2018,5/21/2018,TRUE,FALSE,,
179,-2121.6,90,20,3,5/2/2018,5/21/2018,FALSE,TRUE,,
180,-511.8,90,20,3,5/2/2018,5/21/2018,TRUE,TRUE,,
181,-1612.450045,90,20,4,5/3/2018,5/22/2018,FALSE,FALSE,,
182,78.14995539,90,20,4,5/3/2018,5/22/2018,TRUE,FALSE,,
183,-1531.650045,90,20,4,5/3/2018,5/22/2018,FALSE,TRUE,,
184,78.14995539,90,20,4,5/3/2018,5/22/2018,TRUE,TRUE,,
185,-606.8,90,20,5,5/4/2018,5/23/2018,FALSE,FALSE,,
186,1083.8,90,20,5,5/4/2018,5/23/2018,TRUE,FALSE,,
187,-526,90,20,5,5/4/2018,5/23/2018,FALSE,TRUE,,
188,1083.8,90,20,5,5/4/2018,5/23/2018,TRUE,TRUE,,
189,-744.7,90,20,6,5/5/2018,5/24/2018,FALSE,FALSE,,
190,1109.7,90,20,6,5/5/2018,5/24/2018,TRUE,FALSE,,
191,-663.9,90,20,6,5/5/2018,5/24/2018,FALSE,TRUE,,
192,1109.7,90,20,6,5/5/2018,5/24/2018,TRUE,TRUE,,
193,-782.9,90,20,7,5/6/2018,5/25/2018,FALSE,FALSE,,
194,1147.9,90,20,7,5/6/2018,5/25/2018,TRUE,FALSE,,
195,-702.1,90,20,7,5/6/2018,5/25/2018,FALSE,TRUE,,
196,1147.9,90,20,7,5/6/2018,5/25/2018,TRUE,TRUE,,
197,237.7000892,100,20,1,5/10/2018,5/29/2018,FALSE,FALSE,,
198,2795.8,100,20,1,5/10/2018,5/29/2018,TRUE,FALSE,,
199,685.5000892,100,20,1,5/10/2018,5/29/2018,FALSE,TRUE,,
200,3264.4,100,20,1,5/10/2018,5/29/2018,TRUE,TRUE,,
201,27.57923615,100,20,2,5/11/2018,5/30/2018,FALSE,FALSE,,
202,2585.679147,100,20,2,5/11/2018,5/30/2018,TRUE,FALSE,,
203,475.3792362,100,20,2,5/11/2018,5/30/2018,FALSE,TRUE,,
204,3054.279147,100,20,2,5/11/2018,5/30/2018,TRUE,TRUE,,
205,522.5000892,100,20,3,5/12/2018,5/31/2018,FALSE,FALSE,,
206,1869.4,100,20,3,5/12/2018,5/31/2018,TRUE,FALSE,,
207,-240.8999108,100,20,3,5/12/2018,5/31/2018,FALSE,TRUE,,
208,2338,100,20,3,5/12/2018,5/31/2018,TRUE,TRUE,,
209,428.9000892,100,20,4,5/13/2018,6/1/2018,FALSE,FALSE,,
210,1775.8,100,20,4,5/13/2018,6/1/2018,TRUE,FALSE,,
211,-217.6999108,100,20,4,5/13/2018,6/1/2018,FALSE,TRUE,,
212,2361.2,100,20,4,5/13/2018,6/1/2018,TRUE,TRUE,,
213,524.6000892,100,20,5,5/14/2018,6/2/2018,FALSE,FALSE,,
214,1445.9,100,20,5,5/14/2018,6/2/2018,TRUE,FALSE,,
215,-121.9999108,100,20,5,5/14/2018,6/2/2018,FALSE,TRUE,,
216,2031.3,100,20,5,5/14/2018,6/2/2018,TRUE,TRUE,,
217,431.9000892,100,20,6,5/15/2018,6/3/2018,FALSE,FALSE,,
218,1353.2,100,20,6,5/15/2018,6/3/2018,TRUE,FALSE,,
219,-214.6999108,100,20,6,5/15/2018,6/3/2018,FALSE,TRUE,,
220,1938.6,100,20,6,5/15/2018,6/3/2018,TRUE,TRUE,,
221,458.3000892,100,20,7,5/16/2018,6/4/2018,FALSE,FALSE,,
222,1379.6,100,20,7,5/16/2018,6/4/2018,TRUE,FALSE,,
223,218.3000892,100,20,7,5/16/2018,6/4/2018,FALSE,TRUE,,
224,1965,100,20,7,5/16/2018,6/4/2018,TRUE,TRUE,,
