Date,Blockchain Size
2014-02-10,15277847618
2014-02-11,15310334511
2014-02-12,15343230438
2014-02-13,15387463222
2014-02-14,15427114179
2014-02-15,15469697215
2014-02-16,15503227620
2014-02-17,15533038983
2014-02-18,15565911033
2014-02-19,15601710690
2014-02-20,15643912269
2014-02-21,15683393308
2014-02-22,15722664224
2014-02-23,15755423326
2014-02-24,15790565446
2014-02-25,15834182888
2014-02-26,15879582250
2014-02-27,15921809491
2014-02-28,15961396898
2014-03-01,16005699657
2014-03-02,16041787704
2014-03-03,16075866278
2014-03-04,16125645721
2014-03-05,16177807964
2014-03-06,16222592701
2014-03-07,16264075593
2014-03-08,16305668545
2014-03-09,16341143417
2014-03-10,16376595172
2014-03-11,16418770503
2014-03-12,16461273497
2014-03-13,16504695255
2014-03-14,16546996025
2014-03-15,16586818757
2014-03-16,16617081672
2014-03-17,16646059224
2014-03-18,16679412942
2014-03-19,16705801772
2014-03-20,16741004146
2014-03-21,16780923999
2014-03-22,16822836809
2014-03-23,16864672256
2014-03-24,16896147115
2014-03-25,16935947315
2014-03-26,16975463813
2014-03-27,17013683172
2014-03-28,17055760696
2014-03-29,17092918210
2014-03-30,17123835463
2014-03-31,17155703898
2014-04-01,17193639930
2014-04-02,17231236581
2014-04-03,17269151744
2014-04-04,17305793495
2014-04-05,17344145144
2014-04-06,17376563813
2014-04-07,17409203128
2014-04-08,17446140007
2014-04-09,17485679697
2014-04-10,17524078542
2014-04-11,17564210845
2014-04-12,17601282247
2014-04-13,17628524904
2014-04-14,17658876850
2014-04-15,17700614332
2014-04-16,17745549916
2014-04-17,17787884544
2014-04-18,17826227163
2014-04-19,17858792042
2014-04-20,17889439979
2014-04-21,17919666175
2014-04-22,17953642029
2014-04-23,17996766193
2014-04-24,18037788976
2014-04-25,18078742580
2014-04-26,18120376621
2014-04-27,18149189082
2014-04-28,18181465408
2014-04-29,18218061133
2014-04-30,18256802649
2014-05-01,18294072911
2014-05-02,18327974296
2014-05-03,18362212746
2014-05-04,18390948880
2014-05-05,18422783308
2014-05-06,18458585133
2014-05-07,18500520622
2014-05-08,18539593523
2014-05-09,18578221439
2014-05-10,18615273780
2014-05-11,18645935400
2014-05-12,18679527729
2014-05-13,18721499318
2014-05-14,18758538672
2014-05-15,18797700050
2014-05-16,18840355633
2014-05-17,18878226500
2014-05-18,18911426217
2014-05-19,18943551739
2014-05-20,18982942447
2014-05-21,19027494891
2014-05-22,19069399643
2014-05-23,19111096679
2014-05-24,19153347040
2014-05-25,19182384826
2014-05-26,19217793175
2014-05-27,19256468835
2014-05-28,19297839349
2014-05-29,19339751329
2014-05-30,19377243126
2014-05-31,19414864755
2014-06-01,19444720472
2014-06-02,19481173155
2014-06-03,19519775262
2014-06-04,19561159365
2014-06-05,19599029891
2014-06-06,19638416390
2014-06-07,19676234728
2014-06-08,19705586458
2014-06-09,19736328366
2014-06-10,19771648310
2014-06-11,19812318771
2014-06-12,19849076424
2014-06-13,19888271536
2014-06-14,19926032545
2014-06-15,19957477081
2014-06-16,19990436742
2014-06-17,20031110485
2014-06-18,20070304694
2014-06-19,20107132647
2014-06-20,20144850937
2014-06-21,20178317572
2014-06-22,20209337719
2014-06-23,20241649476
2014-06-24,20277477809
2014-06-25,20315424787
2014-06-26,20353310039
2014-06-27,20388520926
2014-06-28,20424562241
2014-06-29,20457361630
2014-06-30,20488850821
2014-07-01,20532092170
2014-07-02,20575929031
2014-07-03,20615479416
2014-07-04,20652078017
2014-07-05,20684923293
2014-07-06,20712603012
2014-07-07,20745920300
2014-07-08,20784838411
2014-07-09,20827503044
2014-07-10,20870368918
2014-07-11,20907479074
2014-07-12,20943732752
2014-07-13,20974409992
2014-07-14,21008065000
2014-07-15,21044431688
2014-07-16,21084868860
2014-07-17,21122819529
2014-07-18,21161525240
2014-07-19,21200016352
2014-07-20,21233080405
2014-07-21,21267166595
2014-07-22,21304751476
2014-07-23,21343638675
2014-07-24,21381117495
2014-07-25,21419483251
2014-07-26,21457568811
2014-07-27,21488543461
2014-07-28,21521929443
2014-07-29,21560194971
2014-07-30,21596938040
2014-07-31,21636360590
2014-08-01,21676824733
2014-08-02,21714221050
2014-08-03,21745293370
2014-08-04,21776810490
2014-08-05,21815049876
2014-08-06,21860030942
2014-08-07,21905254742
2014-08-08,21945081697
2014-08-09,21984769521
2014-08-10,22019991985
2014-08-11,22057300513
2014-08-12,22100873327
2014-08-13,22146880713
2014-08-14,22192180325
2014-08-15,22240060787
2014-08-16,22283202272
2014-08-17,22330629547
2014-08-18,22366855862
2014-08-19,22408355834
2014-08-20,22449696759
2014-08-21,22490445892
2014-08-22,22531942498
2014-08-23,22570885309
2014-08-24,22602806192
2014-08-25,22638654286
2014-08-26,22678216377
2014-08-27,22720478282
2014-08-28,22763734161
2014-08-29,22802402276
2014-08-30,22837902852
2014-08-31,22872141527
2014-09-01,22906228583
2014-09-02,22946099417
2014-09-03,22988226654
2014-09-04,23027535641
2014-09-05,23067342101
2014-09-06,23108241764
2014-09-07,23142048397
2014-09-08,23180894463
2014-09-09,23224491216
2014-09-10,23277330681
2014-09-11,23324799162
2014-09-12,23360895998
2014-09-13,23397781545
2014-09-14,23430218909
2014-09-15,23474130623
2014-09-16,23519444571
2014-09-17,23571396667
2014-09-18,23615311265
2014-09-19,23657157418
2014-09-20,23695505607
2014-09-21,23732553967
2014-09-22,23767794231
2014-09-23,23811692544
2014-09-24,23857858690
2014-09-25,23902623437
2014-09-26,23951433135
2014-09-27,23993341389
2014-09-28,24031534459
2014-09-29,24074517568
2014-09-30,24119654400
2014-10-01,24164719122
2014-10-02,24211389099
2014-10-03,24253406441
2014-10-04,24295555455
2014-10-05,24338004927
2014-10-06,24383287727
2014-10-07,24428458067
2014-10-08,24473672785
2014-10-09,24517478290
2014-10-10,24562072071
2014-10-11,24605381912
2014-10-12,24641371436
2014-10-13,24684892695
2014-10-14,24730510684
2014-10-15,24780467645
2014-10-16,24824309292
2014-10-17,24866267859
2014-10-18,24906297671
2014-10-19,24943466213
2014-10-20,24986229192
2014-10-21,25032675861
2014-10-22,25079694466
2014-10-23,25125455399
2014-10-24,25171861819
2014-10-25,25216590338
2014-10-26,25255908687
2014-10-27,25297799187
2014-10-28,25348316638
2014-10-29,25397409363
2014-10-30,25447258978
2014-10-31,25497625810
2014-11-01,25544954494
2014-11-02,25583514469
2014-11-03,25632212635
2014-11-04,25683560139
2014-11-05,25734361725
2014-11-06,25782773918
2014-11-07,25834911644
2014-11-08,25885566580
2014-11-09,25927276566
2014-11-10,25975394506
2014-11-11,26026718395
2014-11-12,26076048153
2014-11-13,26131460943
2014-11-14,26185736961
2014-11-15,26235427135
2014-11-16,26275161513
2014-11-17,26322489792
2014-11-18,26375752143
2014-11-19,26425580228
2014-11-20,26476167037
2014-11-21,26523677414
2014-11-22,26569539789
2014-11-23,26610698499
2014-11-24,26658937765
2014-11-25,26710189412
2014-11-26,26758348024
2014-11-27,26806824121
2014-11-28,26854870747
2014-11-29,26903092523
2014-11-30,26946485700
2014-12-01,27004452289
2014-12-02,27060300533
2014-12-03,27118569114
2014-12-04,27172122844
2014-12-05,27227911987
2014-12-06,27278976154
2014-12-07,27322168195
2014-12-08,27367472575
2014-12-09,27423800488
2014-12-10,27475621516
2014-12-11,27525541307
2014-12-12,27573676576
2014-12-13,27620217913
2014-12-14,27660944938
2014-12-15,27714247286
2014-12-16,27773921924
2014-12-17,27834640106
2014-12-18,27893247735
2014-12-19,27948405755
2014-12-20,28002499078
2014-12-21,28053390222
2014-12-22,28100478894
2014-12-23,28158737105
2014-12-24,28217401282
2014-12-25,28260988724
2014-12-26,28298138536
2014-12-27,28340610967
2014-12-28,28385349090
2014-12-29,28431394932
2014-12-30,28479233582
2014-12-31,28524809447
2015-01-01,28565224287
2015-01-02,28596706708
2015-01-03,28642239694
2015-01-04,28689705013
2015-01-05,28736949981
2015-01-06,28793561346
2015-01-07,28843772452
2015-01-08,28892149891
2015-01-09,28949941750
2015-01-10,29005965059
2015-01-11,29065186137
2015-01-12,29116749014
2015-01-13,29172858009
2015-01-14,29231061880
2015-01-15,29293239682
2015-01-16,29356566335
2015-01-17,29411616437
2015-01-18,29464511442
2015-01-19,29513888879
2015-01-20,29572361153
2015-01-21,29626928424
2015-01-22,29676978910
2015-01-23,29731996424
2015-01-24,29781265521
2015-01-25,29826789495
2015-01-26,29883510252
2015-01-27,29946457134
2015-01-28,30003112966
2015-01-29,30047876905
2015-01-30,30095338205
2015-01-31,30137993128
2015-02-01,30190048209
2015-02-02,30236410333
2015-02-03,30286059717
2015-02-04,30337316565
2015-02-05,30385782807
2015-02-06,30433796480
2015-02-07,30479602832
2015-02-08,30524954761
2015-02-09,30579074654
2015-02-10,30638638460
2015-02-11,30694940195
2015-02-12,30750756117
2015-02-13,30801112409
2015-02-14,30875933853
2015-02-15,30942903183
2015-02-16,31007689702
2015-02-17,31071240164
2015-02-18,31138532199
2015-02-19,31197449695
2015-02-20,31249761939
2015-02-21,31310476610
2015-02-22,31367791418
2015-02-23,31421809692
2015-02-24,31480538263
2015-02-25,31535781845
2015-02-26,31591204308
2015-02-27,31646161743
2015-02-28,31704746555
2015-03-01,31766828970
2015-03-02,31821951309
2015-03-03,31887479519
2015-03-04,31951359537
2015-03-05,32007771854
2015-03-06,32068832903
2015-03-07,32126758848
2015-03-08,32180991614
2015-03-09,32237418034
2015-03-10,32301674602
2015-03-11,32361097051
2015-03-12,32426823774
2015-03-13,32483903943
2015-03-14,32539065067
2015-03-15,32591840283
2015-03-16,32641075321
2015-03-17,32701090767
2015-03-18,32754443071
2015-03-19,32811377014
2015-03-20,32874198765
2015-03-21,32929247102
2015-03-22,32982904789
2015-03-23,33037777148
2015-03-24,33096674550
2015-03-25,33147255582
2015-03-26,33198799879
2015-03-27,33253242453
2015-03-28,33303998486
2015-03-29,33355380991
2015-03-30,33410053014
2015-03-31,33468235773
2015-04-01,33528113148
2015-04-02,33591052790
2015-04-03,33650773261
2015-04-04,33712201952
2015-04-05,33762590097
2015-04-06,33819392850
2015-04-07,33877319767
2015-04-08,33939477996
2015-04-09,33996540004
2015-04-10,34055514094
2015-04-11,34110795347
2015-04-12,34165824808
2015-04-13,34213641444
2015-04-14,34278722957
2015-04-15,34337071192
2015-04-16,34391948872
2015-04-17,34442519811
2015-04-18,34495112534
2015-04-19,34548881296
2015-04-20,34603355922
2015-04-21,34663437534
2015-04-22,34720919075
2015-04-23,34781413867
2015-04-24,34842122449
2015-04-25,34900813152
2015-04-26,34955551823
2015-04-27,35010329725
2015-04-28,35069989467
2015-04-29,35129344506
2015-04-30,35192400596
2015-05-01,35250036717
2015-05-02,35301397830
2015-05-03,35354785516
2015-05-04,35403442366
2015-05-05,35459637408
2015-05-06,35519452903
2015-05-07,35578138510
2015-05-08,35636708996
2015-05-09,35697225823
2015-05-10,35747492738
2015-05-11,35800947966
2015-05-12,35862317705
2015-05-13,35922663860
2015-05-14,35981017495
2015-05-15,36033691553
2015-05-16,36087676013
2015-05-17,36138661970
2015-05-18,36193082386
2015-05-19,36246144048
2015-05-20,36305686402
2015-05-21,36361120183
2015-05-22,36412859891
2015-05-23,36470269213
2015-05-24,36519137606
2015-05-25,36575938885
2015-05-26,36636832963
2015-05-27,36698335755
2015-05-28,36757976921
2015-05-29,36817693773
2015-05-30,36884955655
2015-05-31,36948234826
2015-06-01,37004274448
2015-06-02,37076141175
2015-06-03,37145330898
2015-06-04,37213119486
2015-06-05,37272626265
2015-06-06,37330047842
2015-06-07,37382189266
