Date,Velocity - Quarterly
2010-04-30,0.306651
2010-05-01,0.327981
2010-05-02,0.328461
2010-05-03,0.328148
2010-05-04,0.330371
2010-05-05,0.33494
2010-05-06,0.340343
2010-05-07,0.34086
2010-05-08,0.351876
2010-05-09,0.356636
2010-05-10,0.357026
2010-05-11,0.351689
2010-05-12,0.340799
2010-05-13,0.346503
2010-05-14,0.346859
2010-05-15,0.349519
2010-05-16,0.34307
2010-05-17,0.341625
2010-05-18,0.344301
2010-05-19,0.327199
2010-05-20,0.329224
2010-05-21,0.329662
2010-05-22,0.342113
2010-05-23,0.354539
2010-05-24,0.355812
2010-05-25,0.35679
2010-05-26,0.356289
2010-05-27,0.357072
2010-05-28,0.357153
2010-05-29,0.365697
2010-05-30,0.377977
2010-05-31,0.378316
2010-06-01,0.37943
2010-06-02,0.377066
2010-06-03,0.372153
2010-06-04,0.374499
2010-06-05,0.376533
2010-06-06,0.375297
2010-06-07,0.374185
2010-06-08,0.380925
2010-06-09,0.385143
2010-06-10,0.404046
2010-06-11,0.413391
2010-06-12,0.415079
2010-06-13,0.418306
2010-06-14,0.421842
2010-06-15,0.434402
2010-06-16,0.44447
2010-06-17,0.450509
2010-06-18,0.455424
2010-06-19,0.456454
2010-06-20,0.474129
2010-06-21,0.480648
2010-06-22,0.490467
2010-06-23,0.499055
2010-06-24,0.502205
2010-06-25,0.509876
2010-06-26,0.513796
2010-06-27,0.530727
2010-06-28,0.532343
2010-06-29,0.546348
2010-06-30,0.556341
2010-07-01,0.571219
2010-07-02,0.577672
2010-07-03,0.610332
2010-07-04,0.61691
2010-07-05,0.61775
2010-07-06,0.630874
2010-07-07,0.633565
2010-07-08,0.646798
2010-07-09,0.640793
2010-07-10,0.637768
2010-07-11,0.637202
2010-07-12,0.647142
2010-07-13,1.42014
2010-07-14,1.47783
2010-07-15,1.54249
2010-07-16,1.54985
2010-07-17,1.55516
2010-07-18,1.55252
2010-07-19,1.54743
2010-07-20,1.55222
2010-07-21,1.55488
2010-07-22,1.5518
2010-07-23,1.55789
2010-07-24,1.55622
2010-07-25,1.55988
2010-07-26,1.56318
2010-07-27,1.58149
2010-07-28,1.58458
2010-07-29,1.59836
2010-07-30,1.58258
2010-07-31,1.58249
2010-08-01,1.58111
2010-08-02,1.64853
2010-08-03,1.65648
2010-08-04,1.65771
2010-08-05,1.65644
2010-08-06,1.65321
2010-08-07,1.65095
2010-08-08,1.65109
2010-08-09,1.64709
2010-08-10,1.66336
2010-08-11,1.66234
2010-08-12,1.66923
2010-08-13,1.66542
2010-08-14,1.66785
2010-08-15,1.6653
2010-08-16,1.66352
2010-08-17,1.67458
2010-08-18,1.68156
2010-08-19,1.68717
2010-08-20,1.67916
2010-08-21,1.67078
2010-08-22,1.67153
2010-08-23,1.6705
2010-08-24,1.66855
2010-08-25,1.66497
2010-08-26,1.66058
2010-08-27,1.65207
2010-08-28,1.64423
2010-08-29,1.6435
2010-08-30,1.64037
2010-08-31,1.63917
2010-09-01,1.64377
2010-09-02,1.64533
2010-09-03,1.64256
2010-09-04,1.64509
2010-09-05,1.64775
2010-09-06,1.67141
2010-09-07,1.68268
2010-09-08,1.66785
2010-09-09,1.66073
