Date,Quarterly Hash Growth
2009-08-26,-77.5478
2009-08-27,-73.3229
2009-08-28,-74.0525
2009-08-29,-68.6763
2009-08-30,-59.025
2009-08-31,-45.6311
2009-09-01,-34.512
2009-09-02,-25.4932
2009-09-03,-19.2063
2009-09-04,-2.34657
2009-09-05,12.0507
2009-09-06,34.0967
2009-09-07,23.5149
2009-09-08,27.8646
2009-09-09,22.0253
2009-09-10,12.4402
2009-09-11,0.421941
2009-09-12,-8.58779
2009-09-13,-18.6207
2009-09-14,-17.6976
2009-09-15,-15.4804
2009-09-16,-19.4991
2009-09-17,-14.9091
2009-09-18,-11.9782
2009-09-19,-9.98185
2009-09-20,-10.5357
2009-09-21,-8.69565
2009-09-22,-10.4129
2009-09-23,-16.2304
2009-09-24,-20.8556
2009-09-25,-18.9716
2009-09-26,-17.5439
2009-09-27,-7.28972
2009-09-28,-6.82657
2009-09-29,-5.44465
2009-09-30,10.1887
2009-10-01,16.1468
2009-10-02,15.0838
2009-10-03,10.5166
2009-10-04,-3.13043
2009-10-05,-9.20139
2009-10-06,-11.9643
2009-10-07,-20
2009-10-08,-24.8668
2009-10-09,-26.8683
2009-10-10,-24.8201
2009-10-11,-21.1191
2009-10-12,-16.4234
2009-10-13,-15.8759
2009-10-14,-8.47784
2009-10-15,-3.96825
2009-10-16,3.19149
2009-10-17,19.1816
2009-10-18,16.1458
2009-10-19,18.617
2009-10-20,28.5347
2009-10-21,33.1683
2009-10-22,34.2298
2009-10-23,30.5747
2009-10-24,28.9417
2009-10-25,45.4106
2009-10-26,44.4976
2009-10-27,49.3369
2009-10-28,58.3333
2009-10-29,88.3636
2009-10-30,116.438
2009-10-31,106.977
2009-11-01,97.6959
2009-11-02,143.871
2009-11-03,74.359
2009-11-04,28.5171
2009-11-05,-0.887574
2009-11-06,-13.7157
2009-11-07,-23.1788
2009-11-08,-30.1318
2009-11-09,-29.4613
2009-11-10,-22.813
2009-11-11,-16.6369
2009-11-12,-15.704
2009-11-13,-11.3594
2009-11-14,2.27743
2009-11-15,25.6858
2009-11-16,53.6443
2009-11-17,97.8799
2009-11-18,141.176
2009-11-19,236.571
2009-11-20,370.635
2009-11-21,459.813
2009-11-22,475.728
2009-11-23,497.03
2009-11-24,326.95
2009-11-25,252.632
2009-11-26,244.944
2009-11-27,162.762
2009-11-28,98.0707
2009-11-29,56.6327
2009-11-30,22.6782
2009-12-01,11.4053
2009-12-02,3.53635
2009-12-03,-1.84843
2009-12-04,0.943396
2009-12-05,-5.6926
2009-12-06,-1.80361
2009-12-07,8.55397
2009-12-08,18.2573
2009-12-09,28.0851
2009-12-10,26.8908
2009-12-11,29.4363
2009-12-12,47.4576
2009-12-13,54.9061
2009-12-14,58.5263
2009-12-15,65.1111
2009-12-16,59.8291
2009-12-17,62.4742
2009-12-18,71.9758
2009-12-19,92.8144
2009-12-20,109.127
2009-12-21,123.447
2009-12-22,147.5
2009-12-23,179.279
2009-12-24,175.274
2009-12-25,164.468
2009-12-26,135.282
2009-12-27,126.337
2009-12-28,117.85
2009-12-29,87.8425
2009-12-30,74.7235
2009-12-31,76.8608
2010-01-01,79.7997
2010-01-02,90.3052
2010-01-03,93.499
2010-01-04,109.128
2010-01-05,139.955
2010-01-06,160.52
2010-01-07,173.479
2010-01-08,172.727
2010-01-09,165.675
2010-01-10,158.952
2010-01-11,158.134
2010-01-12,145.895
2010-01-13,133.264
2010-01-14,132.99
2010-01-15,140.129
2010-01-16,148.206
2010-01-17,142.377
2010-01-18,104.4
2010-01-19,83.6431
2010-01-20,73.5883
2010-01-21,66.7253
2010-01-22,63.9866
2010-01-23,61.2957
2010-01-24,66.5563
2010-01-25,82.7709
2010-01-26,109.586
2010-01-27,128.958
2010-01-28,151.477
2010-01-29,168.315
2010-01-30,193.24
2010-01-31,246.032
2010-02-01,287.941
2010-02-02,282.249
2010-02-03,270.746
2010-02-04,289.595
2010-02-05,368.103
2010-02-06,406.199
2010-02-07,389.737
2010-02-08,415.778
2010-02-09,444.421
2010-02-10,500.857
2010-02-11,503.361
2010-02-12,457.085
2010-02-13,430.159
2010-02-14,422.201
2010-02-15,425.357
2010-02-16,434.843
2010-02-17,450.255
2010-02-18,510.793
2010-02-19,552.421
2010-02-20,594.435
2010-02-21,609.453
2010-02-22,618.106
2010-02-23,658.706
2010-02-24,671.987
2010-02-25,649.522
2010-02-26,662.825
2010-02-27,683.55
2010-02-28,758.275
2010-03-01,782.998
2010-03-02,816.509
2010-03-03,809.981
2010-03-04,788.972
2010-03-05,881.891
2010-03-06,895.102
2010-03-07,818.574
2010-03-08,775.088
2010-03-09,702.824
2010-03-10,696.523
2010-03-11,708.548
2010-03-12,609.483
2010-03-13,554.852
2010-03-14,552.855
2010-03-15,549.394
2010-03-16,551.738
2010-03-17,505.964
2010-03-18,444.549
2010-03-19,384.472
2010-03-20,359.203
2010-03-21,351.57
2010-03-22,348.232
2010-03-23,347.177
2010-03-24,372.973
2010-03-25,392.759
2010-03-26,444.987
2010-03-27,475.678
2010-03-28,473.568
2010-03-29,494.804
2010-03-30,497.197
2010-03-31,507.96
2010-04-01,534.633
2010-04-02,551.698
2010-04-03,577.767
2010-04-04,572.648
2010-04-05,554.047
2010-04-06,532.849
2010-04-07,509.698
2010-04-08,511.053
2010-04-09,507.752
2010-04-10,511.636
2010-04-11,559.496
2010-04-12,598.63
2010-04-13,685.297
2010-04-14,733.982
2010-04-15,767.382
2010-04-16,833.695
2010-04-17,900.74
2010-04-18,978.865
2010-04-19,1078.95
2010-04-20,1146.59
2010-04-21,1168
2010-04-22,1225.54
2010-04-23,1238.62
2010-04-24,1195.43
2010-04-25,1174.25
2010-04-26,1056.05
2010-04-27,982.462
2010-04-28,1005.54
2010-04-29,967.755
2010-04-30,902.941
2010-05-01,859.557
2010-05-02,864.064
2010-05-03,881.656
2010-05-04,916.747
2010-05-05,821.068
2010-05-06,649.969
2010-05-07,567.572
2010-05-08,517.398
2010-05-09,445.368
2010-05-10,405.006
2010-05-11,353.564
2010-05-12,331.825
2010-05-13,345.93
2010-05-14,349.064
2010-05-15,331.759
2010-05-16,276.037
2010-05-17,247.655
2010-05-18,235.329
2010-05-19,220.514
2010-05-20,205.169
2010-05-21,208.354
2010-05-22,208.813
2010-05-23,232.362
2010-05-24,237.29
2010-05-25,233.924
2010-05-26,243.403
2010-05-27,259.055
2010-05-28,247.953
2010-05-29,254.954
2010-05-30,274.576
2010-05-31,274.596
2010-06-01,277.711
2010-06-02,279.016
2010-06-03,265.758
2010-06-04,271.801
2010-06-05,259.028
2010-06-06,239.114
2010-06-07,249.638
2010-06-08,256.537
2010-06-09,250.648
2010-06-10,263.204
2010-06-11,271.908
2010-06-12,282.465
2010-06-13,286.155
2010-06-14,290.564
2010-06-15,300.168
2010-06-16,320.151
2010-06-17,307.564
2010-06-18,289.174
2010-06-19,268.024
2010-06-20,252.77
2010-06-21,242.759
2010-06-22,217.429
2010-06-23,200.588
2010-06-24,201.509
2010-06-25,202.508
2010-06-26,210.369
2010-06-27,216.874
2010-06-28,216.624
2010-06-29,218.781
2010-06-30,218.098
2010-07-01,218.775
2010-07-02,232.687
2010-07-03,233.699
2010-07-04,243.465
2010-07-05,243.003
2010-07-06,256.545
2010-07-07,262.891
2010-07-08,262.316
2010-07-09,247.119
2010-07-10,241.272
2010-07-11,237.096
2010-07-12,223.133
2010-07-13,335.739
2010-07-14,602.122
2010-07-15,774.748
2010-07-16,961.841
2010-07-17,1732.07
2010-07-18,1863.75
2010-07-19,2052.74
2010-07-20,2161.81
2010-07-21,2006.8
2010-07-22,2093.14
2010-07-23,2117.74
2010-07-24,1672.53
2010-07-25,1725.65
2010-07-26,1816.68
2010-07-27,1862.53
2010-07-28,1987.88
2010-07-29,2018.62
2010-07-30,2124.48
2010-07-31,2167.18
2010-08-01,2292.4
2010-08-02,2431.69
2010-08-03,2594.3
2010-08-04,2760.01
2010-08-05,2850.5
2010-08-06,3078.78
2010-08-07,3139.5
2010-08-08,3139.81
2010-08-09,3253.63
2010-08-10,3404.66
2010-08-11,3538.3
2010-08-12,3810.46
2010-08-13,3846
2010-08-14,4354.49
2010-08-15,4932.81
2010-08-16,5173.17
2010-08-17,4908.8
2010-08-18,4765.74
2010-08-19,4360.29
2010-08-20,4132.11
2010-08-21,3952.34
2010-08-22,3606.2
2010-08-23,3529.42
2010-08-24,3663.03
2010-08-25,3766.1
2010-08-26,4050.44
2010-08-27,4271.79
2010-08-28,4124.03
2010-08-29,4219.6
2010-08-30,4140.46
2010-08-31,4103.36
2010-09-01,4170.55
2010-09-02,4034.09
2010-09-03,3972.29
2010-09-04,4106.12
2010-09-05,4150.91
2010-09-06,4098.61
2010-09-07,4029
2010-09-08,3863.44
2010-09-09,3943.37
2010-09-10,3781.2
2010-09-11,3945.58
2010-09-12,3865.81
2010-09-13,3974.19
2010-09-14,4009.37
2010-09-15,4340.83
2010-09-16,4412.08
2010-09-17,4809.81
2010-09-18,4860.83
2010-09-19,5092
2010-09-20,5472.37
2010-09-21,5966.4
2010-09-22,5793
2010-09-23,5774.28
2010-09-24,5977.41
2010-09-25,6134
2010-09-26,6163.98
2010-09-27,6066.8
2010-09-28,6018.03
2010-09-29,6493.32
2010-09-30,6510.71
2010-10-01,6322.35
2010-10-02,6028.96
2010-10-03,5844.38
2010-10-04,5607.96
2010-10-05,5383.88
2010-10-06,4878.82
2010-10-07,4991.61
2010-10-08,4755.82
2010-10-09,4628.01
2010-10-10,4706.58
2010-10-11,3433.27
2010-10-12,2040.66
2010-10-13,1565.9
2010-10-14,1226.01
2010-10-15,689.41
2010-10-16,614.975
2010-10-17,596.997
2010-10-18,606.861
2010-10-19,650.995
2010-10-20,669.09
2010-10-21,700.531
2010-10-22,945.929
2010-10-23,969.974
2010-10-24,931.633
2010-10-25,908.02
2010-10-26,914.369
2010-10-27,971.891
2010-10-28,959.898
2010-10-29,951.042
2010-10-30,947.488
2010-10-31,1020.26
2010-11-01,1004.38
2010-11-02,989.111
2010-11-03,935.87
2010-11-04,883.677
2010-11-05,902.87
2010-11-06,938.404
2010-11-07,885.23
2010-11-08,911.583
2010-11-09,952.615
2010-11-10,995.436
2010-11-11,1067.35
2010-11-12,1086.12
2010-11-13,1004.83
2010-11-14,994.437
2010-11-15,1050.21
2010-11-16,1062.36
2010-11-17,1074.91
2010-11-18,1125.87
2010-11-19,1209.65
2010-11-20,1279.39
2010-11-21,1235.83
2010-11-22,1128.76
2010-11-23,1078.33
2010-11-24,1016.02
2010-11-25,937.547
2010-11-26,858.778
2010-11-27,876.174
2010-11-28,942.569
2010-11-29,993.901
2010-11-30,1028.81
2010-12-01,1137.51
2010-12-02,1238.02
2010-12-03,1284.98
2010-12-04,1298.85
2010-12-05,1380.45
2010-12-06,1472.28
2010-12-07,1577.32
2010-12-08,1572.7
2010-12-09,1630.18
2010-12-10,1736.02
2010-12-11,1769.15
2010-12-12,1750.75
2010-12-13,1717.05
2010-12-14,1594.5
2010-12-15,1608.16
2010-12-16,1548.35
2010-12-17,1443.51
2010-12-18,1381.23
2010-12-19,1272.52
2010-12-20,1207.6
2010-12-21,1211.89
2010-12-22,1231.48
2010-12-23,1157.49
2010-12-24,1096.48
2010-12-25,1085.64
2010-12-26,1124.24
2010-12-27,1090.68
2010-12-28,1022.28
2010-12-29,954.256
2010-12-30,977.826
2010-12-31,1005.81
2011-01-01,1065.27
2011-01-02,1101.56
2011-01-03,1140.2
2011-01-04,1261.69
2011-01-05,1240.3
2011-01-06,1230.6
2011-01-07,1219.19
2011-01-08,1169.71
2011-01-09,1115.45
2011-01-10,1117.31
2011-01-11,1085.5
2011-01-12,1105.48
2011-01-13,1064.76
2011-01-14,1082.58
2011-01-15,1000.53
2011-01-16,928.217
2011-01-17,888.207
2011-01-18,857.199
2011-01-19,798.168
2011-01-20,771.012
2011-01-21,755.35
2011-01-22,759.261
2011-01-23,741.639
2011-01-24,709.88
2011-01-25,667.706
2011-01-26,652.68
2011-01-27,641.758
2011-01-28,610.061
2011-01-29,537.156
2011-01-30,531.759
2011-01-31,521.193
2011-02-01,524.127
2011-02-02,522.206
2011-02-03,503.248
2011-02-04,475.547
2011-02-05,508.781
2011-02-06,491.249
2011-02-07,462.964
2011-02-08,428.892
2011-02-09,410.525
2011-02-10,403.941
2011-02-11,418.482
2011-02-12,399.598
2011-02-13,385.796
2011-02-14,400.252
2011-02-15,416.498
2011-02-16,423.078
2011-02-17,383.798
2011-02-18,382.47
2011-02-19,433.696
2011-02-20,458.327
2011-02-21,469.87
2011-02-22,490.392
2011-02-23,506.729
2011-02-24,588.545
2011-02-25,581.483
2011-02-26,550.238
2011-02-27,583.586
2011-02-28,632.231
2011-03-01,592.947
2011-03-02,566.142
2011-03-03,552.366
2011-03-04,567.526
2011-03-05,567.382
2011-03-06,570.303
2011-03-07,555.529
2011-03-08,567.243
2011-03-09,570.994
2011-03-10,532.763
2011-03-11,506.589
2011-03-12,477.68
2011-03-13,438.693
2011-03-14,402.911
2011-03-15,375.2
2011-03-16,347.613
2011-03-17,353.963
2011-03-18,362.893
2011-03-19,363.115
2011-03-20,345.021
2011-03-21,348.68
2011-03-22,344.864
2011-03-23,351.988
2011-03-24,362.932
2011-03-25,365.056
2011-03-26,369.104
2011-03-27,378.449
2011-03-28,361.525
2011-03-29,374.834
2011-03-30,384.986
2011-03-31,367.343
2011-04-01,375.403
2011-04-02,371.297
2011-04-03,376.236
2011-04-04,385.137
2011-04-05,393.344
2011-04-06,417.225
2011-04-07,430.498
2011-04-08,410.012
2011-04-09,414.329
2011-04-10,413.178
2011-04-11,422.545
2011-04-12,414.391
2011-04-13,394.776
2011-04-14,394.329
2011-04-15,393.22
2011-04-16,377.643
2011-04-17,371.591
2011-04-18,358.707
2011-04-19,364.413
2011-04-20,359.573
2011-04-21,339.381
2011-04-22,335.673
2011-04-23,356.145
2011-04-24,365.174
2011-04-25,363.072
2011-04-26,375.565
2011-04-27,388.12
2011-04-28,402.079
2011-04-29,403.43
2011-04-30,401.708
2011-05-01,415.844
2011-05-02,429.427
2011-05-03,429.387
2011-05-04,440.051
2011-05-05,459.018
2011-05-06,476.373
2011-05-07,488.508
2011-05-08,488.589
2011-05-09,488.999
2011-05-10,530.35
2011-05-11,522.78
2011-05-12,523.69
2011-05-13,520.689
2011-05-14,525.322
2011-05-15,545.473
2011-05-16,564.576
2011-05-17,540.619
2011-05-18,554.137
2011-05-19,639.749
2011-05-20,624.445
2011-05-21,661.611
2011-05-22,661.231
2011-05-23,687.073
2011-05-24,721.563
2011-05-25,739.992
2011-05-26,724.005
2011-05-27,882.346
2011-05-28,843.042
2011-05-29,769.819
2011-05-30,778.775
2011-05-31,780.739
2011-06-01,762.103
2011-06-02,736.371
2011-06-03,623.61
2011-06-04,593.035
2011-06-05,616.639
2011-06-06,601.771
2011-06-07,652.487
2011-06-08,663.616
2011-06-09,708.17
2011-06-10,783.314
2011-06-11,885.796
2011-06-12,1035.16
2011-06-13,1148.22
2011-06-14,1177.76
2011-06-15,1280.44
2011-06-16,1438.76
2011-06-17,1504
2011-06-18,1607.34
2011-06-19,1613.04
2011-06-20,1636.72
2011-06-21,1732.97
2011-06-22,1806.4
2011-06-23,1761.21
2011-06-24,1762.13
2011-06-25,1921.41
2011-06-26,1969.39
2011-06-27,1974
2011-06-28,1951.78
2011-06-29,1982.45
2011-06-30,1933.79
2011-07-01,1995.51
2011-07-02,1848.93
2011-07-03,1840.42
2011-07-04,1850.66
2011-07-05,1749.08
2011-07-06,1686.6
2011-07-07,1732.67
2011-07-08,1637.09
2011-07-09,1650.07
2011-07-10,1609.08
2011-07-11,1574.15
2011-07-12,1632.55
2011-07-13,1595.39
2011-07-14,1630.12
2011-07-15,1697
2011-07-16,1665.81
2011-07-17,1668.23
2011-07-18,1717.18
2011-07-19,1723.14
2011-07-20,1795.55
2011-07-21,1738.55
2011-07-22,1677.61
2011-07-23,1651.07
2011-07-24,1650.14
2011-07-25,1597.14
2011-07-26,1550.68
2011-07-27,1548.95
2011-07-28,1563.21
2011-07-29,1536.06
2011-07-30,1489.1
2011-07-31,1438.49
2011-08-01,1404.48
2011-08-02,1389.69
2011-08-03,1334.29
2011-08-04,1249.62
2011-08-05,1189.59
2011-08-06,1158.62
2011-08-07,1107.54
2011-08-08,964.842
2011-08-09,892.541
2011-08-10,840.905
2011-08-11,823.541
2011-08-12,791.536
2011-08-13,723.863
2011-08-14,692.195
2011-08-15,692.786
2011-08-16,644.597
2011-08-17,534.518
2011-08-18,488.145
2011-08-19,449.457
2011-08-20,420.469
2011-08-21,389.662
2011-08-22,361.066
2011-08-23,342.713
2011-08-24,341.292
2011-08-25,266.117
2011-08-26,250.112
2011-08-27,246.63
2011-08-28,226.752
2011-08-29,214.267
2011-08-30,208.566
2011-08-31,201.194
2011-09-01,234.682
2011-09-02,222.35
2011-09-03,207.205
2011-09-04,207.218
2011-09-05,180.307
2011-09-06,171.436
2011-09-07,163.624
2011-09-08,143.501
2011-09-09,131.337
2011-09-10,118.046
2011-09-11,105.005
2011-09-12,103.953
2011-09-13,89.5336
2011-09-14,62.2552
2011-09-15,58.7816
2011-09-16,57.5542
2011-09-17,47.7385
2011-09-18,39.8519
2011-09-19,35.8056
2011-09-20,26.6558
2011-09-21,27.9645
2011-09-22,23.1447
2011-09-23,11.3915
2011-09-24,11.2196
2011-09-25,9.95342
2011-09-26,5.71802
2011-09-27,6.56902
2011-09-28,4.6405
2011-09-29,0.811317
2011-09-30,1.51008
2011-10-01,-2.3986
2011-10-02,-2.78639
2011-10-03,-5.04766
2011-10-04,-2.75823
2011-10-05,-5.41542
2011-10-06,-2.10786
2011-10-07,-2.97467
2011-10-08,-1.268
2011-10-09,-2.99338
2011-10-10,-3.02287
2011-10-11,-7.03171
2011-10-12,-11.9005
2011-10-13,-15.4497
2011-10-14,-18.3145
2011-10-15,-20.6212
2011-10-16,-23.2006
2011-10-17,-26.3254
2011-10-18,-29.061
2011-10-19,-26.0774
2011-10-20,-27.8233
2011-10-21,-27.6295
2011-10-22,-29.1719
2011-10-23,-32.7021
2011-10-24,-34.0875
2011-10-25,-35.4083
2011-10-26,-36.1458
2011-10-27,-37.5411
2011-10-28,-39.3861
2011-10-29,-40.9078
2011-10-30,-40.244
2011-10-31,-41.001
2011-11-01,-42.2498
2011-11-02,-42.763
2011-11-03,-41.5411
2011-11-04,-40.9728
2011-11-05,-38.9846
2011-11-06,-36.5779
2011-11-07,-34.1027
2011-11-08,-33.4846
2011-11-09,-33.2019
2011-11-10,-33.2941
2011-11-11,-31.589
2011-11-12,-34.0225
2011-11-13,-34.6315
2011-11-14,-33.7606
2011-11-15,-32.7245
2011-11-16,-30.124
2011-11-17,-32.0509
2011-11-18,-31.8512
2011-11-19,-32.0961
2011-11-20,-34.9956
2011-11-21,-37.6459
2011-11-22,-39.6992
2011-11-23,-41.1637
2011-11-24,-40.7163
2011-11-25,-43.2502
2011-11-26,-41.4551
2011-11-27,-39.0238
2011-11-28,-39.0501
2011-11-29,-37.6816
2011-11-30,-39.8498
2011-12-01,-38.3526
2011-12-02,-35.0734
2011-12-03,-36.5567
2011-12-04,-36.308
2011-12-05,-36.6129
2011-12-06,-35.7768
2011-12-07,-32.5545
2011-12-08,-34.0167
2011-12-09,-34.9842
2011-12-10,-34.1368
2011-12-11,-34.0332
2011-12-12,-31.4329
2011-12-13,-32.1726
2011-12-14,-34.7488
2011-12-15,-34.9114
2011-12-16,-35.3441
2011-12-17,-36.7264
2011-12-18,-37.8024
2011-12-19,-37.284
2011-12-20,-35.0075
2011-12-21,-34.8732
2011-12-22,-34.608
2011-12-23,-33.1341
2011-12-24,-31.1835
2011-12-25,-30.0209
2011-12-26,-28.4861
2011-12-27,-26.2951
2011-12-28,-25.1395
2011-12-29,-22.4171
2011-12-30,-21.7665
2011-12-31,-22.4593
2012-01-01,-20.1909
2012-01-02,-22.1685
2012-01-03,-22.3332
2012-01-04,-21.1102
2012-01-05,-21.8184
2012-01-06,-22.4975
2012-01-07,-18.256
2012-01-08,-16.3136
2012-01-09,-12.4973
2012-01-10,-8.56043
2012-01-11,-6.42814
2012-01-12,-1.53463
2012-01-13,2.3111
2012-01-14,0.911537
2012-01-15,2.01176
2012-01-16,2.42181
2012-01-17,1.97436
2012-01-18,4.12446
2012-01-19,1.29675
2012-01-20,2.92163
2012-01-21,8.03852
2012-01-22,10.8625
2012-01-23,9.97976
2012-01-24,9.06986
2012-01-25,9.9914
2012-01-26,14.9013
2012-01-27,16.6253
2012-01-28,14.5875
2012-01-29,12.9484
2012-01-30,19.3102
2012-01-31,20.469
2012-02-01,20.3005
2012-02-02,19.1336
2012-02-03,19.1642
2012-02-04,20.0514
2012-02-05,21.2669
2012-02-06,19.2737
2012-02-07,17.4347
2012-02-08,16.0243
2012-02-09,15.48
2012-02-10,18.0795
2012-02-11,17.0741
2012-02-12,16.2627
2012-02-13,16.9704
2012-02-14,14.2785
2012-02-15,17.5508
2012-02-16,16.6583
2012-02-17,14.3536
2012-02-18,18.4795
2012-02-19,21.1879
2012-02-20,24.3107
2012-02-21,27.9794
2012-02-22,26.9585
2012-02-23,33.7601
2012-02-24,36.989
2012-02-25,37.0134
2012-02-26,40.7673
2012-02-27,38.2869
2012-02-28,42.3379
2012-02-29,44.1043
2012-03-01,38.3442
2012-03-02,36.7096
2012-03-03,33.5912
2012-03-04,27.1171
2012-03-05,24.7347
2012-03-06,21.4397
2012-03-07,22.8506
2012-03-08,23.5648
2012-03-09,25.6599
2012-03-10,31.0206
2012-03-11,35.7139
2012-03-12,38.3593
2012-03-13,45.4243
2012-03-14,45.1015
2012-03-15,49.3641
2012-03-16,47.8152
2012-03-17,43.5408
2012-03-18,44.1825
2012-03-19,42.9161
2012-03-20,39.5651
2012-03-21,40.1619
2012-03-22,37.8603
2012-03-23,39.3269
2012-03-24,36.5789
2012-03-25,34.4083
2012-03-26,31.6887
2012-03-27,31.234
2012-03-28,29.9542
2012-03-29,30.1266
