Date,Money Supply
2010-07-07,3233500
2010-07-08,3241300
2010-07-09,3248850
2010-07-10,3258800
2010-07-11,3268700
2010-07-12,3277650
2010-07-13,3310600
2010-07-14,3345200
2010-07-15,3374100
2010-07-16,3405300
2010-07-17,3430550
2010-07-18,3439200
2010-07-19,3447800
2010-07-20,3456500
2010-07-21,3465550
2010-07-22,3475900
2010-07-23,3484700
2010-07-24,3494400
2010-07-25,3503850
2010-07-26,3515400
2010-07-27,3527550
2010-07-28,3535850
2010-07-29,3543800
2010-07-30,3552800
2010-07-31,3561900
2010-08-01,3572050
2010-08-02,3584000
2010-08-03,3596100
2010-08-04,3607450
2010-08-05,3619600
2010-08-06,3630500
2010-08-07,3637850
2010-08-08,3645600
2010-08-09,3655550
2010-08-10,3665050
2010-08-11,3674600
2010-08-12,3686250
2010-08-13,3697100
2010-08-14,3707850
2010-08-15,3721900
2010-08-16,3732250
2010-08-17,3739600
2010-08-18,3746050
2010-08-19,3752700
2010-08-20,3759450
2010-08-21,3769100
2010-08-22,3777750
2010-08-23,3788350
2010-08-24,3799000
2010-08-25,3809750
2010-08-26,3820550
2010-08-27,3831050
2010-08-28,3839600
2010-08-29,3848100
2010-08-30,3856200
2010-08-31,3863650
2010-09-01,3872850
2010-09-02,3880700
2010-09-03,3888500
2010-09-04,3896700
2010-09-05,3905750
2010-09-06,3914000
2010-09-07,3921900
2010-09-08,3929900
2010-09-09,3938150
2010-09-10,3944900
2010-09-11,3953750
2010-09-12,3961750
2010-09-13,3970600
2010-09-14,3979150
2010-09-15,3989300
2010-09-16,3997750
2010-09-17,4008700
2010-09-18,4019100
2010-09-19,4030950
2010-09-20,4041400
2010-09-21,4051550
2010-09-22,4060150
2010-09-23,4068850
2010-09-24,4080550
2010-09-25,4091950
2010-09-26,4102300
2010-09-27,4112550
2010-09-28,4124000
2010-09-29,4134600
2010-09-30,4142800
2010-10-01,4150100
2010-10-02,4157800
2010-10-03,4162800
2010-10-04,4168900
2010-10-05,4176550
2010-10-06,4182850
2010-10-07,4191400
2010-10-08,4199400
2010-10-09,4207100
2010-10-10,4215000
2010-10-11,4223900
2010-10-12,4231850
2010-10-13,4239600
2010-10-14,4248400
2010-10-15,4258650
2010-10-16,4267500
2010-10-17,4280400
2010-10-18,4293900
2010-10-19,4306350
2010-10-20,4319150
2010-10-21,4332350
2010-10-22,4341650
2010-10-23,4349350
2010-10-24,4358100
2010-10-25,4368350
2010-10-26,4378500
2010-10-27,4390550
2010-10-28,4401200
2010-10-29,4412150
2010-10-30,4423300
2010-10-31,4435900
2010-11-01,4444850
2010-11-02,4453700
2010-11-03,4462500
2010-11-04,4472000
2010-11-05,4482050
2010-11-06,4493000
2010-11-07,4503900
2010-11-08,4515950
2010-11-09,4529700
2010-11-10,4540550
2010-11-11,4550700
2010-11-12,4561650
2010-11-13,4570100
2010-11-14,4581250
2010-11-15,4594050
2010-11-16,4604050
2010-11-17,4613900
2010-11-18,4626250
2010-11-19,4639100
2010-11-20,4646600
2010-11-21,4652400
2010-11-22,4659400
2010-11-23,4667550
2010-11-24,4674550
2010-11-25,4683400
2010-11-26,4692450
2010-11-27,4702150
2010-11-28,4711150
2010-11-29,4719750
2010-11-30,4730200
2010-12-01,4740300
2010-12-02,4749700
2010-12-03,4759100
2010-12-04,4768550
2010-12-05,4780000
2010-12-06,4791950
2010-12-07,4804000
2010-12-08,4815950
2010-12-09,4827850
2010-12-10,4839000
2010-12-11,4846350
2010-12-12,4855100
2010-12-13,4863650
2010-12-14,4870700
2010-12-15,4879250
2010-12-16,4889050
2010-12-17,4897700
2010-12-18,4906000
2010-12-19,4914050
2010-12-20,4923250
2010-12-21,4931200
2010-12-22,4941000
2010-12-23,4948850
2010-12-24,4956100
2010-12-25,4963500
2010-12-26,4971900
2010-12-27,4979150
2010-12-28,4987450
2010-12-29,4995900
2010-12-30,5004150
2010-12-31,5012600
2011-01-01,5020700
2011-01-02,5029750
2011-01-03,5038500
2011-01-04,5046300
2011-01-05,5053350
2011-01-06,5061050
2011-01-07,5068100
2011-01-08,5076300
2011-01-09,5084800
2011-01-10,5092950
2011-01-11,5101050
2011-01-12,5109650
2011-01-13,5118000
2011-01-14,5127400
2011-01-15,5136450
2011-01-16,5144300
2011-01-17,5153000
2011-01-18,5162050
2011-01-19,5169100
2011-01-20,5177550
2011-01-21,5186850
2011-01-22,5195600
2011-01-23,5203800
2011-01-24,5212300
2011-01-25,5221700
2011-01-26,5229500
2011-01-27,5238500
2011-01-28,5246500
2011-01-29,5254400
2011-01-30,5262450
2011-01-31,5270250
2011-02-01,5278750
2011-02-02,5286950
2011-02-03,5294850
2011-02-04,5302850
2011-02-05,5312550
2011-02-06,5321500
2011-02-07,5330350
2011-02-08,5340500
2011-02-09,5348900
2011-02-10,5358500
2011-02-11,5367800
2011-02-12,5377100
2011-02-13,5386900
2011-02-14,5396800
2011-02-15,5406600
2011-02-16,5417850
2011-02-17,5429450
2011-02-18,5441000
2011-02-19,5451600
2011-02-20,5459650
2011-02-21,5469550
2011-02-22,5479250
2011-02-23,5489800
2011-02-24,5501950
2011-02-25,5512300
2011-02-26,5523550
2011-02-27,5537350
2011-02-28,5549550
2011-03-01,5557050
2011-03-02,5563550
2011-03-03,5571950
2011-03-04,5581250
2011-03-05,5592300
2011-03-06,5606150
2011-03-07,5619850
2011-03-08,5630400
2011-03-09,5639750
2011-03-10,5647750
2011-03-11,5653250
2011-03-12,5659750
2011-03-13,5666750
2011-03-14,5672600
2011-03-15,5678200
2011-03-16,5683800
2011-03-17,5690600
2011-03-18,5697650
2011-03-19,5703650
2011-03-20,5709400
2011-03-21,5716250
2011-03-22,5723650
2011-03-23,5729600
2011-03-24,5737450
2011-03-25,5745050
2011-03-26,5753700
2011-03-27,5760600
2011-03-28,5767750
2011-03-29,5776150
2011-03-30,5784300
2011-03-31,5792100
2011-04-01,5802150
2011-04-02,5810950
2011-04-03,5819950
2011-04-04,5828700
2011-04-05,5837600
2011-04-06,5847300
2011-04-07,5854750
2011-04-08,5862050
2011-04-09,5870350
2011-04-10,5878150
2011-04-11,5886800
2011-04-12,5894950
2011-04-13,5903100
2011-04-14,5912800
2011-04-15,5920800
2011-04-16,5927600
2011-04-17,5936250
2011-04-18,5945250
2011-04-19,5952650
2011-04-20,5960350
2011-04-21,5967550
2011-04-22,5974900
2011-04-23,5983700
2011-04-24,5992300
2011-04-25,6000400
2011-04-26,6010000
2011-04-27,6019750
2011-04-28,6028900
2011-04-29,6037100
2011-04-30,6047100
2011-05-01,6056550
2011-05-02,6065500
2011-05-03,6075350
2011-05-04,6085150
2011-05-05,6095000
2011-05-06,6105950
2011-05-07,6116850
2011-05-08,6127550
2011-05-09,6138500
2011-05-10,6150450
2011-05-11,6159600
2011-05-12,6169150
2011-05-13,6177600
2011-05-14,6187950
2011-05-15,6200050
2011-05-16,6211050
2011-05-17,6223400
2011-05-18,6236250
2011-05-19,6250650
2011-05-20,6259200
2011-05-21,6270200
2011-05-22,6281200
2011-05-23,6293800
2011-05-24,6308100
2011-05-25,6323050
2011-05-26,6338400
2011-05-27,6353200
2011-05-28,6361550
2011-05-29,6369300
2011-05-30,6378300
2011-05-31,6386000
2011-06-01,6393500
2011-06-02,6402900
2011-06-03,6412400
2011-06-04,6422500
2011-06-05,6433700
2011-06-06,6444100
2011-06-07,6455750
2011-06-08,6464250
2011-06-09,6473500
2011-06-10,6484600
2011-06-11,6495750
2011-06-12,6508350
2011-06-13,6520000
2011-06-14,6531350
2011-06-15,6543700
2011-06-16,6557650
2011-06-17,6566650
2011-06-18,6575950
2011-06-19,6585800
2011-06-20,6596950
2011-06-21,6608650
2011-06-22,6621300
2011-06-23,6634300
2011-06-24,6646300
2011-06-25,6657100
2011-06-26,6664250
2011-06-27,6671700
2011-06-28,6680150
2011-06-29,6688150
2011-06-30,6696750
2011-07-01,6706300
2011-07-02,6714950
2011-07-03,6723400
2011-07-04,6731650
2011-07-05,6740150
2011-07-06,6747100
