Date,Two-Week Hash Growth
2011-10-28,-14.8987
2011-10-29,-14.8077
2011-10-30,-12.901
2011-10-31,-9.90974
2011-11-01,-9.72813
2011-11-02,-11.7488
2011-11-03,-10.1812
2011-11-04,-10.2477
2011-11-05,-6.5675
2011-11-06,-1.67549
2011-11-07,0.520179
2011-11-08,-0.480688
2011-11-09,-1.65715
2011-11-10,0.97753
2011-11-11,4.51024
2011-11-12,3.71564
2011-11-13,1.46077
2011-11-14,1.08124
2011-11-15,4.63217
2011-11-16,6.97778
2011-11-17,2.8793
2011-11-18,2.21824
2011-11-19,1.55175
2011-11-20,-1.42165
2011-11-21,-2.50123
2011-11-22,-5.08111
2011-11-23,-7.47059
2011-11-24,-8.21441
2011-11-25,-12.18
2011-11-26,-9.50141
2011-11-27,-9.52747
2011-11-28,-12.433
2011-11-29,-12.3903
2011-11-30,-14.9914
2011-12-01,-11.2192
2011-12-02,-5.53299
2011-12-03,-6.892
2011-12-04,-2.93885
2011-12-05,-1.64958
2011-12-06,2.7544
2011-12-07,8.75568
2011-12-08,6.51224
2011-12-09,7.75445
2011-12-10,7.61753
2011-12-11,7.16475
2011-12-12,12.395
2011-12-13,8.81406
2011-12-14,7.25424
2011-12-15,8.02074
2011-12-16,-2.57581
2011-12-17,-4.57883
2011-12-18,-5.05834
2011-12-19,-6.03433
2011-12-20,-4.55445
2011-12-21,-7.20839
2011-12-22,-5.54319
2011-12-23,-0.367116
2011-12-24,1.9236
2011-12-25,2.19383
2011-12-26,3.62941
2011-12-27,7.83878
2011-12-28,12.348
2011-12-29,10.4368
2011-12-30,14.4614
2011-12-31,17.1119
2012-01-01,16.0667
2012-01-02,13.8347
2012-01-03,7.37425
2012-01-04,8.60227
2012-01-05,8.42822
2012-01-06,5.4346
2012-01-07,5.80677
2012-01-08,9.57074
2012-01-09,8.61821
2012-01-10,9.14041
2012-01-11,7.32197
2012-01-12,8.1404
2012-01-13,10.9593
2012-01-14,9.03295
2012-01-15,6.30812
2012-01-16,5.89958
2012-01-17,9.70588
2012-01-18,9.88644
2012-01-19,7.93395
2012-01-20,6.49806
2012-01-21,4.23954
2012-01-22,2.41
2012-01-23,0.662257
2012-01-24,-1.32081
2012-01-25,-1.81538
2012-01-26,-0.693482
2012-01-27,-2.8885
2012-01-28,-1.09695
2012-01-29,-0.251154
2012-01-30,5.15688
2012-01-31,4.25696
2012-02-01,3.77239
2012-02-02,5.55632
2012-02-03,8.17753
