Date,UTXO Set Size
2009-05-04,12512
2009-05-05,12611
2009-05-06,12737
2009-05-07,12872
2009-05-08,12994
2009-05-09,13101
2009-05-10,13179
2009-05-11,13264
2009-05-12,13384
2009-05-13,13514
2009-05-14,13627
2009-05-15,13766
2009-05-16,13893
2009-05-17,14012
2009-05-18,14139
2009-05-19,14257
2009-05-20,14343
2009-05-21,14463
2009-05-22,14545
2009-05-23,14606
2009-05-24,14638
2009-05-25,14738
2009-05-26,14847
2009-05-27,14972
2009-05-28,15091
2009-05-29,15186
2009-05-30,15233
2009-05-31,15342
2009-06-01,15438
2009-06-02,15510
2009-06-03,15621
2009-06-04,15692
2009-06-05,15758
2009-06-06,15788
2009-06-07,15816
2009-06-08,15832
2009-06-09,15914
2009-06-10,16005
2009-06-11,16087
2009-06-12,16176
2009-06-13,16262
2009-06-14,16340
2009-06-15,16412
2009-06-16,16496
2009-06-17,16567
2009-06-18,16646
2009-06-19,16726
2009-06-20,16813
2009-06-21,16891
2009-06-22,16972
2009-06-23,16989
2009-06-24,17065
2009-06-25,17160
2009-06-26,17209
2009-06-27,17299
2009-06-28,17383
2009-06-29,17430
2009-06-30,17512
2009-07-01,17597
2009-07-02,17670
2009-07-03,17754
2009-07-04,17836
2009-07-05,17925
2009-07-06,18004
2009-07-07,18088
2009-07-08,18157
2009-07-09,18231
2009-07-10,18317
2009-07-11,18398
2009-07-12,18481
2009-07-13,18558
2009-07-14,18636
2009-07-15,18705
2009-07-16,18750
2009-07-17,18821
2009-07-18,18868
2009-07-19,18872
2009-07-20,18942
2009-07-21,18893
2009-07-22,18975
2009-07-23,19035
2009-07-24,19111
2009-07-25,19184
2009-07-26,19216
2009-07-27,19237
2009-07-28,19311
2009-07-29,19352
2009-07-30,19370
2009-07-31,19386
2009-08-01,19403
2009-08-02,19431
2009-08-03,19454
2009-08-04,19466
2009-08-05,19547
2009-08-06,19634
2009-08-07,19724
2009-08-08,19695
2009-08-09,19775
2009-08-10,19876
2009-08-11,19951
2009-08-12,20021
2009-08-13,20084
2009-08-14,20169
2009-08-15,20232
2009-08-16,20258
2009-08-17,20277
2009-08-18,20294
2009-08-19,20304
2009-08-20,20322
2009-08-21,20344
2009-08-22,20358
2009-08-23,20365
2009-08-24,20380
2009-08-25,20395
2009-08-26,20445
2009-08-27,20450
2009-08-28,20479
2009-08-29,20554
2009-08-30,20633
2009-08-31,20729
2009-09-01,20810
2009-09-02,20888
2009-09-03,20954
2009-09-04,21002
2009-09-05,21066
2009-09-06,21142
2009-09-07,21210
2009-09-08,21276
2009-09-09,21345
2009-09-10,21399
2009-09-11,21466
2009-09-12,21533
2009-09-13,21602
2009-09-14,21677
2009-09-15,21751
2009-09-16,21795
2009-09-17,21867
2009-09-18,21852
2009-09-19,21930
2009-09-20,22004
