Date,Avg. UTXO Amount
2010-06-28,64.371
2010-06-29,64.358
2010-06-30,64.4631
2010-07-01,65.6199
2010-07-02,65.6994
2010-07-03,66.1891
2010-07-04,66.1893
2010-07-05,66.4593
2010-07-06,66.5412
2010-07-07,66.5521
2010-07-08,66.6687
2010-07-09,66.6609
2010-07-10,66.6367
2010-07-11,66.749
2010-07-12,66.5905
2010-07-13,64.9902
2010-07-14,64.3791
2010-07-15,58.9218
2010-07-16,59.8671
2010-07-17,59.64
2010-07-18,59.8091
2010-07-19,59.9305
2010-07-20,59.9036
2010-07-21,59.8954
2010-07-22,59.9293
2010-07-23,59.8478
2010-07-24,59.7844
2010-07-25,59.8243
2010-07-26,59.9488
2010-07-27,60.8282
2010-07-28,60.8643
2010-07-29,61.3836
2010-07-30,61.308
2010-07-31,61.4725
2010-08-01,61.5924
2010-08-02,61.6443
2010-08-03,61.689
2010-08-04,61.5921
2010-08-05,61.5599
2010-08-06,61.8421
2010-08-07,61.9715
2010-08-08,62.0686
2010-08-09,62.0331
2010-08-10,63.098
2010-08-11,63.1375
2010-08-12,63.2312
2010-08-13,63.1141
2010-08-14,63.2944
2010-08-15,63.4703
2010-08-16,63.5168
2010-08-17,63.6744
2010-08-18,63.6575
2010-08-19,64.6182
2010-08-20,64.5754
2010-08-21,64.5737
2010-08-22,64.5571
2010-08-23,64.6167
2010-08-24,64.6792
2010-08-25,65.1796
2010-08-26,65.146
2010-08-27,65.2927
2010-08-28,65.3249
2010-08-29,65.3805
2010-08-30,65.3582
2010-08-31,65.439
2010-09-01,65.801
2010-09-02,65.9602
2010-09-03,66.0321
2010-09-04,65.9943
2010-09-05,66.0212
2010-09-06,66.0591
2010-09-07,66.1176
2010-09-08,66.1354
2010-09-09,66.1118
2010-09-10,66.1164
2010-09-11,66.0952
2010-09-12,66.0611
2010-09-13,66.2175
2010-09-14,66.2673
2010-09-15,66.2895
2010-09-16,66.2911
2010-09-17,66.3352
2010-09-18,66.8958
2010-09-19,66.9248
2010-09-20,67.036
2010-09-21,67.0831
2010-09-22,67.1665
2010-09-23,67.1638
2010-09-24,67.2537
2010-09-25,67.2664
2010-09-26,67.3347
2010-09-27,67.3592
2010-09-28,67.7844
2010-09-29,68.9249
2010-09-30,68.9754
2010-10-01,68.9855
2010-10-02,68.7512
2010-10-03,68.8624
2010-10-04,68.8335
2010-10-05,68.97
2010-10-06,69.0125
2010-10-07,69.0272
2010-10-08,69.1089
2010-10-09,69.3406
2010-10-10,69.4971
2010-10-11,69.5212
2010-10-12,69.5662
2010-10-13,69.5906
2010-10-14,70.0143
2010-10-15,70.0782
2010-10-16,70.0762
2010-10-17,70.3169
2010-10-18,70.3503
2010-10-19,70.4009
2010-10-20,70.309
2010-10-21,70.3075
2010-10-22,70.3911
2010-10-23,70.3847
2010-10-24,70.3419
2010-10-25,70.3064
2010-10-26,70.3848
2010-10-27,70.3467
2010-10-28,70.4192
2010-10-29,70.5515
2010-10-30,70.7072
2010-10-31,70.7221
2010-11-01,70.8704
2010-11-02,70.8748
2010-11-03,70.8693
2010-11-04,70.8919
2010-11-05,70.9994
2010-11-06,71.227
2010-11-07,71.2485
2010-11-08,71.2992
2010-11-09,72.2037
2010-11-10,72.2454
2010-11-11,72.2299
2010-11-12,72.2432
2010-11-13,72.2637
2010-11-14,72.345
2010-11-15,72.6987
2010-11-16,71.5681
2010-11-17,69.0363
2010-11-18,69.065
2010-11-19,69.0435
2010-11-20,69.1201
2010-11-21,68.9071
2010-11-22,68.9577
2010-11-23,68.966
2010-11-24,68.9858
2010-11-25,69.5124
2010-11-26,72.652
2010-11-27,72.4143
2010-11-28,72.3957
2010-11-29,72.2094
2010-11-30,72.3073
2010-12-01,72.253
2010-12-02,72.351
2010-12-03,72.3026
2010-12-04,72.4979
2010-12-05,72.5077
2010-12-06,72.4363
2010-12-07,72.3156
2010-12-08,72.3974
2010-12-09,72.3143
2010-12-10,72.2983
2010-12-11,72.2452
2010-12-12,71.9861
2010-12-13,71.7088
2010-12-14,71.9964
2010-12-15,71.7758
2010-12-16,71.6176
2010-12-17,71.5306
2010-12-18,71.634
2010-12-19,71.4428
2010-12-20,71.5641
2010-12-21,71.1511
2010-12-22,70.971
2010-12-23,70.8
2010-12-24,70.5686
2010-12-25,70.3554
2010-12-26,70.0179
2010-12-27,69.7858
2010-12-28,69.8669
2010-12-29,69.6128
2010-12-30,69.5659
2010-12-31,69.4689
2011-01-01,69.2816
2011-01-02,69.1384
2011-01-03,69.0982
2011-01-04,69.2859
2011-01-05,68.9463
2011-01-06,68.8222
2011-01-07,68.7564
2011-01-08,68.4368
2011-01-09,68.0441
2011-01-10,67.8002
2011-01-11,67.5546
2011-01-12,67.3013
2011-01-13,67.0677
2011-01-14,66.9994
2011-01-15,66.9192
2011-01-16,66.7095
2011-01-17,66.4895
2011-01-18,66.1742
2011-01-19,65.9829
2011-01-20,65.7659
2011-01-21,65.4055
2011-01-22,65.2156
2011-01-23,65.2629
2011-01-24,65.1269
2011-01-25,64.8191
2011-01-26,64.5426
2011-01-27,64.4239
2011-01-28,64.2465
2011-01-29,63.9393
2011-01-30,63.8329
2011-01-31,63.4725
2011-02-01,63.5244
2011-02-02,63.7843
2011-02-03,63.7181
2011-02-04,63.4472
2011-02-05,63.3344
2011-02-06,63.2105
2011-02-07,63.1521
2011-02-08,62.9427
2011-02-09,62.74
2011-02-10,62.3821
2011-02-11,61.9803
2011-02-12,61.2112
2011-02-13,60.7146
2011-02-14,60.1999
2011-02-15,60.179
2011-02-16,59.5309
2011-02-17,59.1128
2011-02-18,58.4865
2011-02-19,58.2853
2011-02-20,57.9187
2011-02-21,57.3214
2011-02-22,56.6255
2011-02-23,56.1846
2011-02-24,55.6759
2011-02-25,55.1887
2011-02-26,54.7325
2011-02-27,54.4238
2011-02-28,54.0223
2011-03-01,53.8229
2011-03-02,53.1507
2011-03-03,52.7982
2011-03-04,51.8463
2011-03-05,51.7188
2011-03-06,51.9959
2011-03-07,51.6991
2011-03-08,51.4662
2011-03-09,51.1106
2011-03-10,50.9164
2011-03-11,50.6155
2011-03-12,50.4385
2011-03-13,50.1558
2011-03-14,50.0119
2011-03-15,50.0697
2011-03-16,49.9161
2011-03-17,49.8114
2011-03-18,49.5288
2011-03-19,49.3225
2011-03-20,49.1406
2011-03-21,48.8573
2011-03-22,48.3376
2011-03-23,47.9733
2011-03-24,47.3621
2011-03-25,46.9651
2011-03-26,46.5777
2011-03-27,46.0605
2011-03-28,45.7609
2011-03-29,45.317
2011-03-30,44.7708
2011-03-31,44.5176
2011-04-01,44.2018
2011-04-02,43.9744
2011-04-03,43.7025
2011-04-04,43.3293
2011-04-05,42.9687
2011-04-06,42.6502
2011-04-07,42.3741
2011-04-08,42.0955
2011-04-09,41.8805
2011-04-10,41.6082
2011-04-11,41.3992
2011-04-12,41.3205
