"","ME","RMSE","MAE","MPE","MAPE","MASE","AIC","BIC"
"Output_Volume",-27.5527847846874,428.501269214054,322.937053707715,-0.419630092605669,3.71092025964488,0.994773663802997,1964.55438288839,1970.30477753479
"Bitcoin_Core__BTC__Price",-29.3859159067975,428.419456090488,321.490744524395,-0.442117492415375,3.69168708760831,0.99031846032367,1964.50427790507,1970.25467255147
"Quarterly_Hash_Growth",-30.9075680317012,427.289336098238,318.308050415152,-0.44598047447633,3.65129145953287,0.980514505517412,1963.81220373712,1969.56259838352
"Total_Transactions",7.44322347041172,427.374570912521,323.850774218064,-0.00781020535301057,3.71398491851722,0.997588283832928,1963.84178572918,1969.59218037559
"Transaction_Amount",-27.8939579054603,428.708558181877,322.169288046038,-0.422564200287159,3.70063780657537,0.992408642349313,1964.6810880295,1970.43148267591
"Transaction_Fees",-25.9448823111201,427.03159659577,321.713743184434,-0.397431752843814,3.69002784695856,0.991005384266038,1963.65424985279,1969.40464449919
"Fees_Value",-25.3219972479711,427.416146056669,322.492911995702,-0.390121818078533,3.70008302645085,0.993405531923939,1963.89008931758,1969.64048396399
"Transaction_Size",-28.1208165984839,428.722777906372,322.548860397624,-0.423931805555518,3.70565121820205,0.99357787509771,1964.6897670252,1970.4401616716
"Transactions_per_Block",-28.0738940071296,426.754586171157,323.780660357297,-0.424689734475541,3.72028995419907,0.997372305451512,1963.48416424148,1969.23455888788
"Transaction_Value",-27.8704920474899,428.776550881747,322.267937227605,-0.421896346006136,3.70207323716032,0.992712520788323,1964.72263627088,1970.47303091728
"Avg__UTXO_Amount",-26.0774540059976,428.790036087875,322.1667082429,-0.402967336130463,3.70023145674081,0.992400695536801,1964.73068364294,1970.48107828935
"UTXO_Growth",-27.3820221259305,424.77466210241,323.939640266014,-0.413980807426569,3.71588817527206,0.997862026356716,1962.26582767922,1968.01622232562
"UTXO_Set_Size",-28.8345016513235,428.809243170529,322.287425969099,-0.431760601946875,3.70246611822517,0.992772553808864,1964.74251929808,1970.49291394448
"Avg__UTXO_Value",-28.9281051033544,428.341097009433,321.456162924441,-0.437916899306752,3.69106898440542,0.990211935338407,1964.4563536357,1970.20674828211
"Velocity_of_Money",-7.24874910002763,427.94179869849,322.084201500605,-0.17072892183764,3.69529584870758,0.992146542185925,1964.21273374062,1969.96312838703
"Velocity___Quarterly",1.02074994036953,426.771961554714,321.369856819013,-0.0923558745729512,3.68586663640711,0.98994607844859,1963.49545258796,1969.24584723436
"Velocity___Daily",-27.5357052515756,428.49267908488,322.941104591304,-0.419460829378973,3.71098111545327,0.994786142124278,1964.54913081976,1970.29952546616
"volatility",-18.8200441131326,425.219775990215,324.714372643567,-0.322139268648818,3.73177223285229,1.00024850804668,1962.54044591471,1968.29084056111
"shorts",-26.0038832836841,407.035047553276,302.114449494695,-0.388307771757462,3.46575712631338,0.930631819300841,1951.08879342332,1956.83918806972
"longs",-28.5962046879072,426.927889548383,316.496247867403,-0.429158775662328,3.62824464448978,0.974933438130383,1963.59064232101,1969.34103696742
"stockpulse_sent",-27.9919795003418,427.904868532277,321.273989475718,-0.423838541499891,3.69798961829004,0.9896507691701,1964.18945560649,1969.93985025289
"stockpulse_buzz",-28.1434056080309,428.797243945135,322.271967811862,-0.424719110771903,3.70232941802209,0.992724936579643,1964.73527886393,1970.48567351033
"sp500",-27.3561745984386,427.372892759476,323.309018140321,-0.413741331444302,3.71159021071459,0.995919461156321,1963.86391692438,1969.61431157078
"SVM_sentiment_neg",-30.3621894475707,415.885241826321,314.021175009191,-0.444804346111795,3.60427479153085,0.967309236240032,1956.72456654204,1962.47496118844
"SVM_sentiment_neg_amp",-28.630472037987,413.749376581807,314.374026489998,-0.431643754685054,3.61370659615893,0.968396158153484,1955.37557282388,1961.12596747028
"SVM_sentiment_npnr",-29.9987659626352,400.974740344302,309.906649848217,-0.440772576782903,3.56709688997593,0.954634873783944,1947.15881100851,1952.90920565491
"SVM_sentiment_npr",-29.9987659626352,400.974740344302,309.906649848217,-0.440772576782903,3.56709688997593,0.954634873783944,1947.15881100851,1952.90920565491
"SVM_sentiment_npr_alt",-30.0946503605631,402.008802890567,311.504608667264,-0.441864528867271,3.58640772562007,0.959557218032707,1947.83367720973,1953.58407185613
"SVM_sentiment_npr_amp",-28.0687774175277,421.678292511395,317.839539630887,-0.421262865993069,3.64519595558552,0.979071307271675,1960.3490023373,1966.0993969837
"SVM_sentiment_pos",-28.9806789965578,427.658229379308,320.755349665401,-0.433211739671912,3.68338606713522,0.988053153726534,1964.03836847242,1969.78876311882
"SVM_sentiment_pos_amp",-28.1187392713983,428.795758442254,322.29205388565,-0.424587512389947,3.70296022914919,0.992786809619556,1964.7343659541,1970.48476060051
"SVM_sentiment_raw",-25.5261269024787,405.120372766541,317.074541046954,-0.393208993694132,3.64918983806394,0.976714809510251,1949.85370504846,1955.60409969486
"SVM_sentiment_sum_pos_neg",-25.5397317130326,408.532341617725,319.219980423518,-0.39119458944854,3.6753460530653,0.983323610094106,1952.05107078848,1957.80146543488
"TwtCnt",-29.4826086247081,427.283752003276,320.08957043054,-0.438971915697794,3.6722143934987,0.986002290745212,1963.80882163141,1969.55921627781
