"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs","btc_tec_regs_lag1_only","twitter_and_btc_regs_and_lag1"
135,1236.80648615998,60,20,2,"2018-04-01","2018-04-20",FALSE,TRUE,FALSE,FALSE
136,3001.99351384002,60,20,2,"2018-04-01","2018-04-20",TRUE,TRUE,FALSE,FALSE
137,-829.206486160022,60,20,2,"2018-04-01","2018-04-20",FALSE,FALSE,TRUE,FALSE
138,2436.79351384002,60,20,2,"2018-04-01","2018-04-20",FALSE,FALSE,FALSE,TRUE
139,2095.9,60,20,3,"2018-04-02","2018-04-21",FALSE,FALSE,FALSE,FALSE
140,2360.49999999998,60,20,3,"2018-04-02","2018-04-21",TRUE,FALSE,FALSE,FALSE
141,1530.7,60,20,3,"2018-04-02","2018-04-21",FALSE,TRUE,FALSE,FALSE
142,2360.49999999998,60,20,3,"2018-04-02","2018-04-21",TRUE,TRUE,FALSE,FALSE
143,1547.10000000002,60,20,3,"2018-04-02","2018-04-21",FALSE,FALSE,TRUE,FALSE
144,1090.69999999998,60,20,3,"2018-04-02","2018-04-21",FALSE,FALSE,FALSE,TRUE
145,1738.09999999999,60,20,4,"2018-04-03","2018-04-22",FALSE,FALSE,FALSE,FALSE
146,2718.29999999999,60,20,4,"2018-04-03","2018-04-22",TRUE,FALSE,FALSE,FALSE
147,1443.49351383995,60,20,4,"2018-04-03","2018-04-22",FALSE,TRUE,FALSE,FALSE
148,2718.29999999999,60,20,4,"2018-04-03","2018-04-22",TRUE,TRUE,FALSE,FALSE
149,-2611.29351384007,60,20,4,"2018-04-03","2018-04-22",FALSE,FALSE,TRUE,FALSE
150,1448.49999999999,60,20,4,"2018-04-03","2018-04-22",FALSE,FALSE,FALSE,TRUE
151,1534.4,60,20,5,"2018-04-04","2018-04-23",FALSE,FALSE,FALSE,FALSE
152,2217.39999999998,60,20,5,"2018-04-04","2018-04-23",TRUE,FALSE,FALSE,FALSE
153,-1069.6,60,20,5,"2018-04-04","2018-04-23",FALSE,TRUE,FALSE,FALSE
154,279.599999999982,60,20,5,"2018-04-04","2018-04-23",TRUE,TRUE,FALSE,FALSE
155,1541.79999999996,60,20,5,"2018-04-04","2018-04-23",FALSE,FALSE,TRUE,FALSE
156,-201.00000000004,60,20,5,"2018-04-04","2018-04-23",FALSE,FALSE,FALSE,TRUE
157,2860.79999999999,60,20,6,"2018-04-05","2018-04-24",FALSE,FALSE,FALSE,FALSE
158,-421.400000000031,60,20,6,"2018-04-05","2018-04-24",TRUE,FALSE,FALSE,FALSE
159,185.193513840011,60,20,6,"2018-04-05","2018-04-24",FALSE,TRUE,FALSE,FALSE
160,-555.400000000031,60,20,6,"2018-04-05","2018-04-24",TRUE,TRUE,FALSE,FALSE
161,820.19999999995,60,20,6,"2018-04-05","2018-04-24",FALSE,FALSE,TRUE,FALSE
162,-1120.60000000003,60,20,6,"2018-04-05","2018-04-24",FALSE,FALSE,FALSE,TRUE
163,2100.2,60,20,7,"2018-04-06","2018-04-25",FALSE,FALSE,FALSE,FALSE
164,1669.39999999998,60,20,7,"2018-04-06","2018-04-25",TRUE,FALSE,FALSE,FALSE
165,864.80648615998,60,20,7,"2018-04-06","2018-04-25",FALSE,TRUE,FALSE,FALSE
166,1669.39999999998,60,20,7,"2018-04-06","2018-04-25",TRUE,TRUE,FALSE,FALSE
167,2312.99351383998,60,20,7,"2018-04-06","2018-04-25",FALSE,FALSE,TRUE,FALSE
168,1669.39999999998,60,20,7,"2018-04-06","2018-04-25",FALSE,FALSE,FALSE,TRUE
169,2629.9,70,20,1,"2018-04-10","2018-04-29",FALSE,FALSE,FALSE,FALSE
170,-1445.50000000002,70,20,1,"2018-04-10","2018-04-29",TRUE,FALSE,FALSE,FALSE
171,1926.70648615998,70,20,1,"2018-04-10","2018-04-29",FALSE,TRUE,FALSE,FALSE
172,-1445.50000000002,70,20,1,"2018-04-10","2018-04-29",TRUE,TRUE,FALSE,FALSE
173,864.49351384002,70,20,1,"2018-04-10","2018-04-29",FALSE,FALSE,TRUE,FALSE
174,-1445.50000000002,70,20,1,"2018-04-10","2018-04-29",FALSE,FALSE,FALSE,TRUE
175,2403.5,70,20,2,"2018-04-11","2018-04-30",FALSE,FALSE,FALSE,FALSE
176,1486.49351384,70,20,2,"2018-04-11","2018-04-30",TRUE,FALSE,FALSE,FALSE
177,3255.50648615996,70,20,2,"2018-04-11","2018-04-30",FALSE,TRUE,FALSE,FALSE
178,1486.49351384,70,20,2,"2018-04-11","2018-04-30",TRUE,TRUE,FALSE,FALSE
179,2187.69351383998,70,20,2,"2018-04-11","2018-04-30",FALSE,FALSE,TRUE,FALSE
180,1486.49351384,70,20,2,"2018-04-11","2018-04-30",FALSE,FALSE,FALSE,TRUE
181,2125.1,70,20,3,"2018-04-12","2018-05-01",FALSE,FALSE,FALSE,FALSE
182,849.699999999981,70,20,3,"2018-04-12","2018-05-01",TRUE,FALSE,FALSE,FALSE
183,2125.1,70,20,3,"2018-04-12","2018-05-01",FALSE,TRUE,FALSE,FALSE
184,849.699999999981,70,20,3,"2018-04-12","2018-05-01",TRUE,TRUE,FALSE,FALSE
185,4333.10000000002,70,20,3,"2018-04-12","2018-05-01",FALSE,FALSE,TRUE,FALSE
186,849.699999999981,70,20,3,"2018-04-12","2018-05-01",FALSE,FALSE,FALSE,TRUE
