profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,7745.260638
102,273,60,20,5,8/15/2018,9/3/2018,TRUE,FALSE,,
103,1168.6,60,20,5,8/15/2018,9/3/2018,FALSE,TRUE,,
104,508,60,20,5,8/15/2018,9/3/2018,TRUE,TRUE,,
105,1088.7,60,20,6,8/16/2018,9/4/2018,FALSE,FALSE,,
106,282.9,60,20,6,8/16/2018,9/4/2018,TRUE,FALSE,,
107,1178.5,60,20,6,8/16/2018,9/4/2018,FALSE,TRUE,,
108,517.9,60,20,6,8/16/2018,9/4/2018,TRUE,TRUE,,
109,388.4,60,20,7,8/17/2018,9/5/2018,FALSE,FALSE,,
110,892.4,60,20,7,8/17/2018,9/5/2018,TRUE,FALSE,,
111,478.2,60,20,7,8/17/2018,9/5/2018,FALSE,TRUE,,
112,1127.4,60,20,7,8/17/2018,9/5/2018,TRUE,TRUE,,
113,-16,70,20,1,8/21/2018,9/9/2018,FALSE,FALSE,,
114,306.4,70,20,1,8/21/2018,9/9/2018,TRUE,FALSE,,
115,136,70,20,1,8/21/2018,9/9/2018,FALSE,TRUE,,
116,639.2,70,20,1,8/21/2018,9/9/2018,TRUE,TRUE,,
117,-164.2,70,20,2,8/22/2018,9/10/2018,FALSE,FALSE,,
118,158.2,70,20,2,8/22/2018,9/10/2018,TRUE,FALSE,,
119,-12.2,70,20,2,8/22/2018,9/10/2018,FALSE,TRUE,,
120,491,70,20,2,8/22/2018,9/10/2018,TRUE,TRUE,,
121,-72.9,70,20,3,8/23/2018,9/11/2018,FALSE,FALSE,,
122,297.5,70,20,3,8/23/2018,9/11/2018,TRUE,FALSE,,
123,-151.5,70,20,3,8/23/2018,9/11/2018,FALSE,TRUE,,
124,630.3,70,20,3,8/23/2018,9/11/2018,TRUE,TRUE,,
125,-194.7832782,70,20,4,8/24/2018,9/12/2018,FALSE,FALSE,,
126,92.58327818,70,20,4,8/24/2018,9/12/2018,TRUE,FALSE,,
127,-273.3832782,70,20,4,8/24/2018,9/12/2018,FALSE,TRUE,,
128,425.3832782,70,20,4,8/24/2018,9/12/2018,TRUE,TRUE,,
129,-204.6,70,20,5,8/25/2018,9/13/2018,FALSE,FALSE,,
130,102.4,70,20,5,8/25/2018,9/13/2018,TRUE,FALSE,,
131,-283.2,70,20,5,8/25/2018,9/13/2018,FALSE,TRUE,,
132,102.4,70,20,5,8/25/2018,9/13/2018,TRUE,TRUE,,
133,-252.8,70,20,6,8/26/2018,9/14/2018,FALSE,FALSE,,
134,150.6,70,20,6,8/26/2018,9/14/2018,TRUE,FALSE,,
135,-252.8,70,20,6,8/26/2018,9/14/2018,FALSE,TRUE,,
136,150.6,70,20,6,8/26/2018,9/14/2018,TRUE,TRUE,,
137,-194.2,70,20,7,8/27/2018,9/15/2018,FALSE,FALSE,,
138,209.2,70,20,7,8/27/2018,9/15/2018,TRUE,FALSE,,
139,-194.2,70,20,7,8/27/2018,9/15/2018,FALSE,TRUE,,
140,209.2,70,20,7,8/27/2018,9/15/2018,TRUE,TRUE,,
141,-595.1,80,20,1,8/31/2018,9/19/2018,FALSE,FALSE,,
142,-162.788832,80,20,1,8/31/2018,9/19/2018,TRUE,FALSE,,
143,-530.7,80,20,1,8/31/2018,9/19/2018,FALSE,TRUE,,
144,42.411168,80,20,1,8/31/2018,9/19/2018,TRUE,TRUE,,
145,-520.6925184,80,20,2,9/1/2018,9/20/2018,FALSE,FALSE,,
146,-31.1813504,80,20,2,9/1/2018,9/20/2018,TRUE,FALSE,,
147,-456.2925184,80,20,2,9/1/2018,9/20/2018,FALSE,TRUE,,
148,174.0186496,80,20,2,9/1/2018,9/20/2018,TRUE,TRUE,,
149,-435.3,80,20,3,9/2/2018,9/21/2018,FALSE,FALSE,,
